srcip,sport,dstip,dsport,proto,sbytes,dbytes,spkts,dpkts,stime,ltime,swin,dwin,smeansz,dmeansz,pkt_sizes_src,pkt_sizes_dst,dur
104.18.39.21,443,192.168.0.163,49596,TCP,1962,2214,29,27,1756409822.3176913,1756410102.6654882,16,510,67.65517241379311,82.0,"[78, 54, 78, 54, 78, 54, 78, 54, 78, 54, 78, 54, 78, 66, 78, 54, 78, 54, 78, 54, 78, 66, 78, 54, 78, 78, 78, 66, 54]","[82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",280.34779691696167
104.18.39.21,443,192.168.0.163,49311,TCP,2004,1558,30,19,1756409826.044286,1756410106.140402,17,507,66.8,82.0,"[78, 54, 78, 54, 78, 54, 78, 66, 78, 54, 78, 54, 78, 54, 78, 54, 78, 54, 78, 54, 78, 54, 78, 54, 78, 66, 78, 54, 78, 54]","[82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",280.096116065979
192.168.0.130,5353,224.0.0.251,5353,UDP,2160,0,16,0,1756409826.72846,1756410107.009492,0,0,135.0,0.0,"[135, 135, 135, 135, 135, 135, 135, 135, 135, 135, 135, 135, 135, 135, 135, 135]",[],280.2810318470001
104.18.39.21,443,192.168.0.163,49309,TCP,2028,1968,30,24,1756409839.606735,1756410121.8427796,18,507,67.6,82.0,"[78, 54, 78, 54, 78, 54, 78, 54, 78, 54, 78, 54, 78, 54, 78, 66, 78, 54, 78, 54, 78, 66, 78, 66, 78, 54, 78, 54, 78, 66]","[82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",282.23604464530945
142.251.173.188,5228,192.168.0.163,64832,TCP,396,385,6,7,1756409844.7911925,1756410115.3870099,1048,509,66.0,55.0,"[66, 66, 66, 66, 66, 66]","[55, 55, 55, 55, 55, 55, 55]",270.5958173274994
192.168.0.163,64259,64.233.184.188,5228,TCP,330,330,6,5,1756409853.8858933,1756410079.3540342,511,1047,55.0,66.0,"[55, 55, 55, 55, 55, 55]","[66, 66, 66, 66, 66]",225.4681408405304
192.168.0.163,64260,64.233.184.188,5228,TCP,330,330,6,5,1756409854.1965652,1756410079.6973708,509,1048,55.0,66.0,"[55, 55, 55, 55, 55, 55]","[66, 66, 66, 66, 66]",225.50080561637878
103.235.46.102,80,192.168.0.163,49656,TCP,66,498,1,9,1756410013.8532336,1756410067.6512995,8192,0,66.0,55.333333333333336,[66],"[66, 54, 54, 54, 54, 54, 54, 54, 54]",53.79806590080261
103.235.46.102,80,192.168.0.163,49657,TCP,66,498,1,9,1756410024.16563,1756410072.250419,8192,0,66.0,55.333333333333336,[66],"[66, 54, 54, 54, 54, 54, 54, 54, 54]",48.08478879928589
103.235.46.102,80,192.168.0.163,49671,TCP,66,498,1,9,1756410034.448906,1756410078.097344,8192,0,66.0,55.333333333333336,[66],"[66, 54, 54, 54, 54, 54, 54, 54, 54]",43.64843797683716
103.235.46.102,80,192.168.0.163,49674,TCP,66,498,1,9,1756410044.725445,1756410095.3997364,8192,0,66.0,55.333333333333336,[66],"[66, 54, 54, 54, 54, 54, 54, 54, 54]",50.674291372299194
172.64.148.235,443,192.168.0.163,49683,TCP,6067,8118,17,15,1756410049.0811167,1756410111.270344,16,511,356.88235294117646,541.2,"[66, 1434, 1434, 793, 54, 54, 54, 54, 54, 1434, 240, 78, 54, 78, 54, 78, 54]","[66, 54, 1434, 450, 54, 54, 118, 1434, 1434, 1434, 1286, 54, 82, 82, 82]",62.18922734260559
103.235.46.102,80,192.168.0.163,49684,TCP,66,444,1,8,1756410054.9963415,1756410089.5272086,8192,512,66.0,55.5,[66],"[66, 54, 54, 54, 54, 54, 54, 54]",34.53086709976196
103.235.46.102,80,192.168.0.163,49685,TCP,66,498,1,9,1756410065.3721714,1756410110.5871508,8192,0,66.0,55.333333333333336,[66],"[66, 54, 54, 54, 54, 54, 54, 54, 54]",45.21497941017151
192.168.0.163,49686,84.53.132.33,443,TCP,3271,4936,15,12,1756410068.0175645,1756410071.3232076,0,497,218.06666666666666,411.3333333333333,"[66, 54, 1434, 482, 66, 54, 134, 591, 66, 54, 54, 54, 54, 54, 54]","[66, 54, 1434, 488, 1434, 373, 54, 373, 474, 54, 54, 78]",3.305643081665039
140.82.113.22,443,192.168.0.163,49613,TCP,0,54,0,1,1756410068.6965456,1756410068.6965456,0,0,0.0,54.0,[],[54],0.0
192.168.0.210,5353,224.0.0.251,5353,UDP,237,0,3,0,1756410073.540732,1756410075.5718615,0,0,79.0,0.0,"[79, 79, 79]",[],2.0311295986175537
103.235.46.102,80,192.168.0.163,49687,TCP,66,498,1,9,1756410075.6187375,1756410118.305983,8192,0,66.0,55.333333333333336,[66],"[66, 54, 54, 54, 54, 54, 54, 54, 54]",42.6872456073761
