proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,prev_pkt_time_src,prev_pkt_time_dst,pkt_sizes_src,pkt_sizes_dst,syn_time,synack_time,Sttl,Dttl,Swin,Dwin
TCP,,62.36698508262634,66,498,[51],"[128, 128, 128, 128, 128, 128, 128, 128, 128]",0,0,HTTP,0,0,1,9,[8192],"[64240, 512, 512, 512, 512, 512, 512, 512, 0]",0,0,66.0,55.333333333333336,0,0,[],[],1756417691.680544,1756417754.047529,0.0,7.795873135328293,62.02364230155945,9,8,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417692.0238867,1756417754.047529,[66],"[66, 54, 54, 54, 54, 54, 54, 54, 54]",1756417692.0238867,,51.0,128.0,8192.0,7536.0
TCP,,100.28609848022461,828,738,"[53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53, 53]","[128, 128, 128, 128, 128, 128, 128, 128, 128]",0,0,,0,0,12,9,"[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]","[511, 510, 510, 510, 510, 510, 510, 510, 510]",144,252,69.0,82.0,0,0,[],[],1756417692.2282891,1756417792.5143876,9.116918043656783,12.528096735477448,,9,9,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417792.5143876,1756417792.453063,"[78, 54, 78, 54, 78, 66, 78, 54, 78, 66, 78, 66]","[82, 82, 82, 82, 82, 82, 82, 82, 82]",,,53.0,128.0,16.0,510.1111111111111
TCP,,90.27370357513428,198,165,"[53, 53, 53]","[128, 128, 128]",0,0,,0,0,3,3,"[19, 19, 19]","[508, 508, 508]",0,3,66.0,55.0,0,0,[],[],1756417696.480336,1756417786.7540395,45.09511840343475,45.097254276275635,,3,3,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417786.7540395,1756417786.6748445,"[66, 66, 66]","[55, 55, 55]",,,53.0,128.0,19.0,508.0
TCP,,59.728541135787964,66,498,[51],"[128, 128, 128, 128, 128, 128, 128, 128, 128]",0,0,HTTP,0,0,1,9,[8192],"[64240, 512, 512, 512, 512, 512, 512, 512, 0]",0,0,66.0,55.333333333333336,0,0,[],[],1756417702.037858,1756417761.7663991,0.0,7.4660676419734955,59.40113186836243,9,8,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417702.3652673,1756417761.7663991,[66],"[66, 54, 54, 54, 54, 54, 54, 54, 54]",1756417702.3652673,,51.0,128.0,8192.0,7536.0
TCP,,86.28907036781311,164,186,"[128, 128, 128]","[110, 110, 110]",0,0,,0,0,3,3,"[508, 508, 508]","[49157, 49157, 49157]",2,0,54.666666666666664,62.0,0,0,[],[],1756417708.2456572,1756417794.5347276,43.144535183906555,43.10133612155914,,3,3,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417794.5347276,1756417794.5322402,"[55, 55, 54]","[66, 66, 54]",,,128.0,110.0,508.0,49157.0
TCP,,90.34073424339294,61942,4926,"[49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 49, 48, 49, 49, 49]","[128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0,0,,0,0,54,29,"[42340, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83]","[64240, 512, 512, 512, 511, 511, 511, 510, 510, 510, 510, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 510, 510, 509, 509]",59002,3348,1147.0740740740741,169.86206896551724,0,0,[],[],1756417711.2271283,1756417801.5678625,1.7037124183942687,3.223589198929923,90.21652150154114,29,28,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417801.5678625,1756417801.4876258,"[66, 153, 54, 54, 335, 116, 85, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 560, 66, 93, 78, 54]","[66, 54, 1434, 706, 900, 54, 54, 128, 146, 326, 85, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 55, 54, 54]",1756417711.2711043,,48.98148148148148,128.0,865.5370370370371,2708.793103448276
TCP,,56.61499238014221,66,498,[51],"[128, 128, 128, 128, 128, 128, 128, 128, 128]",0,0,HTTP,0,0,1,9,[8192],"[64240, 512, 512, 512, 512, 512, 512, 512, 0]",0,0,66.0,55.333333333333336,0,0,[],[],1756417712.5011916,1756417769.116184,0.0,7.0768740475177765,56.30564260482788,9,8,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417712.8105414,1756417769.116184,[66],"[66, 54, 54, 54, 54, 54, 54, 54, 54]",1756417712.8105414,,51.0,128.0,8192.0,7536.0
TCP,,45.16835951805115,132,110,"[53, 52]","[128, 128]",0,0,,0,0,2,2,"[53, 53]","[510, 510]",0,2,66.0,55.0,0,0,[],[],1756417722.5603983,1756417767.7287579,45.09503364562988,45.08896565437317,,2,2,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417767.7287579,1756417767.649364,"[66, 66]","[55, 55]",,,52.5,128.0,53.0,510.0
TCP,,45.18941617012024,110,132,"[128, 128]","[52, 53]",0,0,,0,0,2,2,"[508, 508]","[497, 497]",2,0,55.0,66.0,0,0,[],[],1756417722.6494308,1756417767.838847,45.11280846595764,45.093069314956665,,2,2,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417767.7622392,1756417767.838847,"[55, 55]","[66, 66]",,,128.0,52.5,508.0,497.0
TCP,,62.777920961380005,66,498,[51],"[128, 128, 128, 128, 128, 128, 128, 128, 128]",0,0,HTTP,0,0,1,9,[8192],"[64240, 512, 512, 512, 512, 512, 512, 512, 0]",0,0,66.0,55.333333333333336,0,0,[],[],1756417722.8102415,1756417785.5881624,0.0,7.847240120172501,62.43474268913269,9,8,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417723.1534197,1756417785.5881624,[66],"[66, 54, 54, 54, 54, 54, 54, 54, 54]",1756417723.1534197,,51.0,128.0,8192.0,7536.0
TCP,,69.56239056587219,9682,714,"[128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128]","[106, 106, 107, 107, 107, 107, 107, 107, 107, 107]",0,0,,0,0,17,10,"[506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 506, 512, 512, 512, 511, 511, 511]","[16387, 16387, 16387, 16386, 16387, 16387, 16387, 16386, 16386, 16386]",8764,138,569.5294117647059,71.4,0,0,[],[],1756417723.9345927,1756417793.4969833,4.335344642400742,7.7046341101328535,,10,10,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417793.300107,1756417793.4969833,"[55, 55, 172, 93, 1434, 1434, 1434, 1434, 1434, 1434, 274, 54, 54, 54, 89, 89, 89]","[66, 66, 93, 54, 54, 54, 54, 54, 153, 66]",,,128.0,106.8,507.94117647058823,16386.6
TCP,,45.15463089942932,132,110,"[121, 120]","[128, 128]",0,0,,0,0,2,2,"[1048, 1048]","[509, 509]",0,2,66.0,55.0,0,0,[],[],1756417725.4316642,1756417770.5862951,45.078840255737305,45.083356857299805,,2,2,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417770.5862951,1756417770.515021,"[66, 66]","[55, 55]",,,120.5,128.0,1048.0,509.0
TCP,,45.07626247406006,66,110,[120],"[128, 128]",0,0,,0,0,1,2,[1047],"[509, 509]",0,2,66.0,55.0,0,0,[],[],1756417725.4397469,1756417770.5160093,0.0,45.07626247406006,,2,2,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417725.5074549,1756417770.5160093,[66],"[55, 55]",,,120.0,128.0,1047.0,509.0
TCP,,45.15063977241516,132,110,"[121, 121]","[128, 128]",0,0,,0,0,2,2,"[1047, 1047]","[512, 512]",0,2,66.0,55.0,0,0,[],[],1756417725.5024552,1756417770.653095,45.08645677566528,45.07653069496155,,2,2,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417770.653095,1756417770.578986,"[66, 66]","[55, 55]",,,121.0,128.0,1047.0,512.0
TCP,,44.02734160423279,66,498,[51],"[128, 128, 128, 128, 128, 128, 128, 128, 128]",0,0,HTTP,0,0,1,9,[8192],"[64240, 512, 512, 512, 512, 512, 512, 512, 0]",0,0,66.0,55.333333333333336,0,0,[],[],1756417733.1526546,1756417777.1799963,0.0,5.5034177005290985,43.786460876464844,9,8,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417733.3935354,1756417777.1799963,[66],"[66, 54, 54, 54, 54, 54, 54, 54, 54]",1756417733.3935354,,51.0,128.0,8192.0,7536.0
TCP,,30.909526348114014,66,444,[51],"[128, 128, 128, 128, 128, 128, 128, 128]",0,0,HTTP,0,0,1,8,[8192],"[64240, 512, 512, 512, 512, 512, 512, 512]",0,0,66.0,55.5,0,0,[],[],1756417743.3974028,1756417774.306929,0.0,4.415646621159145,30.57331871986389,8,7,0,Counter(),Counter(),0,Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),Counter(),1756417743.7336104,1756417774.306929,[66],"[66, 54, 54, 54, 54, 54, 54, 54]",1756417743.7336104,,51.0,128.0,8192.0,8478.0
