proto,dur,sbytes,dbytes,Spkts,Dpkts,smeansz,dmeansz,Stime,Ltime,Sintpkt,Dintpkt,pkt_sizes_src,pkt_sizes_dst,prev_pkt_time_src,prev_pkt_time_dst
TCP,385.25008606910706,108162,282318,587,580,184.26235093696764,486.7551724137931,1756417264.917621,1756417650.167707,0.6572991906579444,0.6653714785304095,"[66, 66, 66, 54, 54, 93, 54, 54, 54, 54, 54, 66, 580, 720, 85, 54, 54, 54, 54, 54, 54, 54, 54, 370, 359, 85, 590, 1434, 65, 1434, 1434, 76, 1434, 1434, 1434, 87, 1434, 1434, 1434, 214, 54, 54, 54, 54, 350, 363, 85, 54, 54, 54, 54, 54, 54, 356, 101, 85, 54, 54, 54, 54, 54, 1434, 65, 568, 890, 520, 282, 178, 130, 138, 170, 54, 54, 54, 54, 54, 367, 132, 186, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 326, 101, 85, 242, 101, 138, 322, 85, 170, 138, 278, 138, 178, 170, 186, 130, 170, 186, 186, 162, 138, 170, 154, 154, 54, 130, 130, 154, 178, 138, 54, 162, 154, 138, 130, 130, 130, 162, 154, 154, 138, 154, 138, 162, 170, 146, 154, 130, 138, 154, 54, 170, 138, 170, 138, 170, 54, 138, 162, 154, 162, 170, 146, 194, 186, 170, 154, 154, 186, 154, 186, 186, 154, 154, 154, 223, 54, 130, 154, 138, 154, 54, 154, 154, 162, 278, 170, 194, 170, 162, 466, 187, 54, 54, 54, 54, 54, 54, 372, 136, 410, 99, 85, 54, 54, 54, 54, 54, 54, 54, 54, 321, 101, 85, 54, 54, 54, 54, 54, 54, 54, 328, 132, 322, 329, 101, 85, 101, 85, 54, 54, 54, 642, 87, 361, 85, 54, 54, 54, 54, 54, 54, 358, 101, 85, 54, 66, 93, 54, 54, 54, 54, 54, 54, 346, 219, 85, 54, 66, 66, 54, 54, 93, 54, 54, 54, 54, 54, 54, 54, 54, 54, 351, 360, 85, 592, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 148, 85, 54, 54, 54, 54, 54, 54, 54, 356, 363, 85, 54, 54, 54, 54, 54, 348, 361, 85, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 1434, 97, 119, 493, 890, 520, 282, 178, 146, 54, 170, 170, 54, 54, 186, 54, 54, 54, 54, 363, 54, 54, 54, 54, 54, 54, 54, 324, 132, 325, 101, 85, 101, 85, 162, 154, 194, 194, 146, 154, 162, 178, 162, 194, 138, 162, 138, 146, 138, 130, 154, 154, 54, 146, 138, 154, 54, 138, 146, 146, 146, 154, 138, 146, 162, 130, 162, 170, 154, 162, 162, 162, 154, 170, 162, 186, 178, 170, 54, 186, 178, 154, 54, 154, 154, 154, 154, 138, 146, 154, 162, 170, 186, 162, 178, 146, 138, 122, 186, 154, 146, 178, 170, 186, 130, 66, 130, 146, 170, 66, 162, 54, 170, 178, 162, 162, 162, 154, 186, 194, 138, 138, 354, 186, 186, 186, 154, 154, 194, 54, 186, 210, 154, 194, 54, 154, 154, 194, 178, 178, 186, 170, 170, 162, 162, 162, 130, 162, 154, 138, 162, 130, 146, 154, 170, 54, 186, 178, 154, 130, 54, 162, 154, 146, 162, 154, 138, 146, 146, 154, 138, 138, 130, 138, 154, 138, 154, 54, 54, 54, 146, 54, 54, 350, 101, 85, 154, 54, 154, 178, 130, 178, 162, 194, 138, 170, 162, 146, 162, 154, 170, 194, 186, 178, 178, 170, 194, 170, 146, 130, 138, 130, 130, 130, 146, 138, 138, 130, 54, 146, 146, 154, 162, 178, 138, 170, 162, 154, 154, 194, 146, 202, 162, 146, 154, 170, 170, 466, 187, 54, 54, 54, 54, 54, 54, 54, 362, 136, 410, 99, 85, 54, 54, 54, 54, 54, 54, 320, 101, 85, 54, 54, 54, 54, 54, 54, 54, 54, 325, 599, 101, 85, 324, 101, 85, 101, 85, 54, 54, 54, 380, 361, 85]","[55, 55, 55, 1434, 1434, 1434, 1434, 1434, 298, 93, 1434, 54, 54, 54, 54, 54, 54, 89, 1434, 1434, 1434, 1434, 1434, 506, 442, 1434, 1434, 1434, 1434, 1434, 259, 648, 54, 54, 54, 54, 1434, 1434, 1434, 1434, 1434, 508, 442, 54, 89, 1434, 1434, 1434, 1434, 201, 1434, 141, 54, 54, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 801, 1434, 238, 54, 54, 54, 1434, 1434, 1434, 1434, 200, 1434, 615, 54, 54, 89, 1434, 1434, 1434, 1434, 200, 1434, 354, 1434, 1434, 1434, 1434, 200, 1434, 217, 54, 66, 74, 66, 54, 66, 66, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 89, 54, 54, 54, 54, 54, 89, 54, 54, 54, 54, 54, 66, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 89, 54, 54, 54, 54, 89, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 89, 54, 54, 54, 89, 54, 54, 66, 54, 66, 54, 54, 54, 54, 1434, 1434, 1434, 1434, 1434, 243, 567, 54, 1434, 1434, 1434, 1434, 200, 1434, 1166, 54, 1434, 1434, 1434, 1434, 200, 1434, 1434, 1434, 1434, 200, 1434, 152, 1434, 106, 1434, 1434, 1434, 1434, 200, 1434, 204, 54, 54, 54, 54, 54, 54, 54, 1434, 1434, 1434, 1434, 1434, 275, 442, 54, 89, 1434, 1434, 1434, 1434, 312, 899, 54, 89, 55, 1434, 1434, 1434, 1434, 1434, 210, 93, 54, 54, 54, 54, 54, 54, 54, 89, 55, 55, 1434, 1434, 1434, 1434, 1434, 506, 93, 442, 1434, 1434, 1434, 1434, 1434, 258, 732, 54, 54, 54, 54, 54, 54, 54, 89, 54, 54, 54, 1434, 1434, 1434, 1434, 1434, 502, 442, 54, 1434, 1434, 1434, 1434, 1434, 502, 442, 54, 89, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 767, 1002, 54, 89, 54, 1434, 1434, 1434, 1434, 193, 1434, 628, 1434, 1434, 1434, 1434, 193, 1434, 1434, 1434, 1434, 193, 1434, 356, 1434, 217, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 89, 54, 54, 89, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 89, 54, 54, 89, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 89, 89, 89, 66, 66, 74, 66, 66, 54, 89, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 89, 54, 54, 54, 89, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 89, 54, 54, 54, 54, 89, 54, 54, 54, 54, 54, 54, 54, 54, 66, 66, 54, 54, 54, 54, 54, 1434, 54, 1434, 1434, 1434, 774, 54, 54, 89, 54, 54, 54, 54, 89, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 89, 54, 54, 54, 54, 89, 54, 54, 54, 54, 54, 54, 54, 66, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 89, 1434, 1434, 1434, 1434, 1434, 236, 598, 54, 54, 1434, 1434, 1434, 1434, 193, 1434, 1153, 1434, 1434, 1434, 1434, 193, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 1434, 632, 54, 89, 54, 54, 54, 1434, 1434, 1434, 1434, 1434, 268, 442, 54]",1756417650.167707,1756417650.167707
TCP,371.5405914783478,42781,4998,86,61,497.45348837209303,81.93442622950819,1756417269.676869,1756417641.2174604,4.369528613371007,6.188091611862182,"[55, 172, 93, 1434, 1434, 1434, 92, 54, 89, 172, 1434, 788, 54, 55, 172, 93, 1434, 1434, 1434, 1434, 1434, 1434, 329, 54, 54, 89, 172, 1434, 967, 54, 172, 93, 1434, 812, 89, 167, 93, 1434, 812, 54, 89, 172, 1434, 811, 54, 89, 167, 93, 1434, 812, 54, 89, 55, 167, 93, 1434, 812, 54, 89, 172, 93, 1434, 1261, 54, 54, 89, 172, 93, 1214, 54, 89, 89, 167, 1434, 812, 54, 89, 55, 167, 93, 1434, 812, 54, 54, 89, 55]","[66, 54, 54, 93, 54, 153, 54, 153, 54, 66, 54, 54, 93, 54, 54, 153, 54, 153, 54, 54, 54, 192, 54, 54, 54, 93, 153, 54, 54, 153, 54, 54, 93, 54, 54, 153, 54, 66, 93, 54, 153, 54, 93, 54, 54, 153, 54, 93, 54, 153, 66, 152, 54, 54, 66, 93, 54, 54, 148, 54, 66]",1756417641.086801,1756417641.2174604
TCP,360.837007522583,528,495,8,9,66.0,55.0,1756417274.4906373,1756417635.3276448,51.53748345375061,45.09665369987488,"[66, 66, 66, 66, 66, 66, 66, 66]","[55, 55, 55, 55, 55, 55, 55, 55, 55]",1756417635.3276448,1756417635.263867
TCP,360.8360016345978,528,495,8,9,66.0,55.0,1756417274.4916432,1756417635.3276448,51.53779023034232,45.09665295481682,"[66, 66, 66, 66, 66, 66, 66, 66]","[55, 55, 55, 55, 55, 55, 55, 55, 55]",1756417635.3276448,1756417635.2648668
TCP,360.7076427936554,528,495,8,9,66.0,55.0,1756417274.7030127,1756417635.4106555,51.51858343396868,45.0790901184082,"[66, 66, 66, 66, 66, 66, 66, 66]","[55, 55, 55, 55, 55, 55, 55, 55, 55]",1756417635.4106555,1756417635.3357337
TCP,260.08999490737915,8356,14069,43,47,194.32558139534885,299.3404255319149,1756417391.3824904,1756417651.4724853,6.191120073908851,5.649751756502234,"[66, 1429, 54, 54, 582, 85, 54, 976, 101, 85, 93, 54, 609, 101, 85, 54, 66, 66, 66, 93, 54, 54, 54, 611, 101, 85, 54, 93, 54, 54, 54, 613, 101, 85, 54, 93, 54, 54, 54, 967, 101, 85, 54]","[66, 54, 1434, 733, 118, 146, 583, 1263, 54, 54, 54, 85, 54, 54, 233, 93, 1023, 54, 54, 89, 55, 55, 55, 234, 93, 1434, 538, 54, 54, 54, 89, 233, 93, 1434, 1146, 54, 54, 54, 89, 233, 93, 1268, 54, 54, 54, 54, 89]",1756417651.4724853,1756417651.2710712
TCP,245.41508793830872,7485,2727,17,15,440.29411764705884,181.8,1756417394.2315257,1756417639.6466136,15.333761066198349,17.529649138450623,"[66, 54, 54, 1434, 1434, 1434, 1310, 1024, 66, 66, 66, 66, 66, 127, 110, 54, 54]","[66, 54, 1434, 500, 54, 128, 54, 55, 55, 55, 55, 55, 54, 54, 54]",1756417639.6466136,1756417639.6466136
TCP,180.41965913772583,6806,8667,28,22,243.07142857142858,393.95454545454544,1756417471.8634706,1756417652.2831297,6.680102401309544,8.587007420403618,"[66, 1434, 1434, 794, 54, 54, 54, 54, 1434, 240, 78, 54, 78, 54, 78, 54, 78, 54, 78, 54, 78, 54, 78, 54, 78, 54, 78, 54]","[66, 54, 1434, 418, 54, 118, 1434, 1434, 1434, 1321, 54, 54, 54, 82, 82, 82, 82, 82, 82, 82, 82, 82]",1756417652.2831297,1756417652.1906264
TCP,90.5630054473877,4204,7391,13,13,323.38461538461536,568.5384615384615,1756417522.4189255,1756417612.981931,7.541584173838298,7.542684237162272,"[66, 54, 1434, 541, 767, 54, 54, 128, 888, 54, 54, 55, 55]","[66, 153, 54, 1434, 1434, 1434, 1434, 607, 157, 54, 432, 66, 66]",1756417612.9179356,1756417612.981931
TCP,61.06844353675842,66,498,1,9,66.0,55.333333333333336,1756417533.7008815,1756417594.769325,0.0,7.633555442094803,[66],"[66, 54, 54, 54, 54, 54, 54, 54, 54]",1756417534.0262082,1756417594.769325
